CONTAINER LAUNCH SCHEDULE
Shows scheduled and actual launch times with OOM decisions

Launch Interval,5 minutes
Total Simulation,1.0 hours
Expected Containers,180

Container,Scheduled Launch (min),Expected Start Running (min),Expected End Running (min),Requested Memory (MB),Actual Launch,Decision
C1,0,0,1,862.0,Yes,YES - Launched
C2,5,5,6,1293.0,Yes,YES - Launched
C3,10,10,11,1939.5,Yes,YES - Launched
C4,15,15,16,862.0,Yes,YES - Launched
C5,20,20,21,1293.0,Yes,YES - Launched
C6,25,25,26,1939.5,Yes,YES - Launched
C7,30,30,31,862.0,Yes,YES - Launched
C8,35,35,36,1293.0,Yes,YES - Launched
C9,40,40,41,1939.5,Yes,YES - Launched
C10,45,45,46,862.0,Yes,YES - Launched
C11,50,50,51,1293.0,Yes,YES - Launched
C12,55,55,56,1939.5,Yes,YES - Launched
C13,60,60,61,862.0,Yes,YES - Launched
C14,65,65,66,1293.0,Yes,YES - Launched
C15,70,70,71,1939.5,Yes,YES - Launched
C16,75,75,76,862.0,Yes,YES - Launched
C17,80,80,81,1293.0,Yes,YES - Launched
C18,85,85,86,1939.5,Yes,YES - Launched
C19,90,90,91,862.0,Yes,YES - Launched
C20,95,95,96,1293.0,Yes,YES - Launched
C21,100,100,101,1939.5,Yes,YES - Launched
C22,105,105,106,862.0,Yes,YES - Launched
C23,110,110,111,1293.0,Yes,YES - Launched
C24,115,115,116,1939.5,Yes,YES - Launched
