PART 2 - SCHEDULING ALGORITHM DESIGN
Non-blocking Event-Driven Scheduler
Configuration:
  Base Memory: 862.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB
  Container Duration: 60 seconds
  Max Concurrent: 3

SCHEDULER STATE TIMELINE - First 60 minutes of execution

Time (min),Container ID,State,Memory Required (MB),Active Containers (count),Total Memory Used (MB),Available Memory (MB),Event Description,Launch Decision,Note
0,1,CREATED,862.0,1,862.0,3234.0,Container 1 launched,✓ YES (1/3),1 now active
5,1,COMPLETED,862.0,0,0.0,4096.0,Container 1 released resources,N/A,Memory freed
5,2,CREATED,1293.0,1,1293.0,2803.0,Container 2 launched,✓ YES (1/3),1 now active
10,2,COMPLETED,1293.0,0,0.0,4096.0,Container 2 released resources,N/A,Memory freed
10,3,CREATED,1939.5,1,1939.5,2156.5,Container 3 launched,✓ YES (1/3),1 now active
15,3,COMPLETED,1939.5,0,0.0,4096.0,Container 3 released resources,N/A,Memory freed
15,4,CREATED,2909.2,1,2909.2,1186.8,Container 4 launched,✓ YES (1/3),1 now active
20,4,COMPLETED,2909.2,0,0.0,4096.0,Container 4 released resources,N/A,Memory freed
20,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
25,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
30,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
35,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
40,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
45,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
50,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
55,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
60,5,WAITING,4363.9,0,0.0,4096.0,Container waiting for resources,"NO (Insufficient memory: need 4364MB, have 4096MB)",Queued
