PART 3 - STARVATION PREVENTION ANALYSIS
Comparing three memory cap policy approaches
Configuration:
  Base Memory: 862.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

Approach,Description,Max Containers,Max Parallel,Starvation?,Realism,Note
Sliding Window,Memory keeps increasing for each new container following the exponential pattern,9,Decreases over time from 3 to 1,Yes,High,"Most realistic approach, but it eventually causes starvation"
Reset Every N,Memory growth restarts after every 4 containers,Unlimited,Remains at 3,No,Low,"Prevents starvation, but it is less realistic for real workloads"
Capped Multiplier,Memory grows until it reaches a 2048 MB limit per container,Unlimited,Eventually stabilizes at 1,No,Good,"Best balance between realism and fairness, so this is the recommended approach"

RECOMMENDATION: Capped Multiplier at 2048 MB
"Implementation: max_container_memory = min(calculated_memory, 2048)"

Container Number,Sliding Window (MB),Reset Every 4 (MB),Capped at 2GB (MB)
1,862,862,862
2,1293,1293,1293
3,1940,1940,1940
4,2909,2909,2048
5,4364,862,2048
6,6546,1293,2048
7,9819,1940,2048
8,14728,2909,2048
9,22092,862,2048
10,33138,1293,2048
11,49707,1940,2048
12,74561,2909,2048
13,111841,862,2048
14,167762,1293,2048
