CONTAINER LIFECYCLE STATE TRACKING
State Machine: 7-State Container Lifecycle
Configuration:
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

STATE DEFINITIONS
State,Phase,Description,Actions
CREATED,Registration,Container registered in scheduler,Memory allocated from pool
STARTING,Initialization,Subprocess being created,Process object created
ALLOCATING_MEMORY,GPU Setup,GPU memory allocation in progress,torch.zeros() executed
RUNNING,Execution,Container actively using GPU,Worker process executing
RELEASING_MEMORY,Cleanup,Memory being released,torch.cuda.empty_cache() called
COMPLETED,Final (Success),Container completed successfully,"Exit code 0, memory freed"
FAILED,Final (Error),Container failed with error,"Exit code != 0, memory freed"

Container ID,Current State,Timestamp (s),Time Since Launch (s),Memory Allocated (MB),Container Status,State Description
1,RUNNING,1773936615.64,0.00,862.0,SUCCESS,Active execution on GPU
2,RUNNING,1773936620.65,0.00,1293.0,SUCCESS,Active execution on GPU
3,RUNNING,1773936625.65,0.00,1939.5,SUCCESS,Active execution on GPU
4,RUNNING,1773936680.67,0.00,862.0,SUCCESS,Active execution on GPU
5,RUNNING,1773936685.67,0.00,1293.0,SUCCESS,Active execution on GPU
6,RUNNING,1773936690.68,0.00,1939.5,SUCCESS,Active execution on GPU
7,RUNNING,1773936745.69,0.00,862.0,SUCCESS,Active execution on GPU
8,RUNNING,1773936750.70,0.00,1293.0,SUCCESS,Active execution on GPU
9,RUNNING,1773936755.70,0.00,1939.5,SUCCESS,Active execution on GPU
10,RUNNING,1773936810.72,0.00,862.0,SUCCESS,Active execution on GPU
11,RUNNING,1773936815.72,0.00,1293.0,SUCCESS,Active execution on GPU
12,RUNNING,1773936820.73,0.00,1939.5,SUCCESS,Active execution on GPU
13,RUNNING,1773936875.74,0.00,862.0,SUCCESS,Active execution on GPU
14,RUNNING,1773936880.75,0.00,1293.0,SUCCESS,Active execution on GPU
15,RUNNING,1773936885.75,0.00,1939.5,SUCCESS,Active execution on GPU
16,RUNNING,1773936940.77,0.00,862.0,SUCCESS,Active execution on GPU
17,RUNNING,1773936945.77,0.00,1293.0,SUCCESS,Active execution on GPU
18,RUNNING,1773936950.77,0.00,1939.5,SUCCESS,Active execution on GPU
19,RUNNING,1773937005.79,0.00,862.0,SUCCESS,Active execution on GPU
20,RUNNING,1773937010.80,0.00,1293.0,SUCCESS,Active execution on GPU
21,RUNNING,1773937015.80,0.00,1939.5,SUCCESS,Active execution on GPU
22,RUNNING,1773937070.81,0.00,862.0,SUCCESS,Active execution on GPU
23,RUNNING,1773937075.82,0.00,1293.0,SUCCESS,Active execution on GPU
24,RUNNING,1773937080.82,0.00,1939.5,SUCCESS,Active execution on GPU
25,RUNNING,1773937135.84,0.00,862.0,SUCCESS,Active execution on GPU
26,RUNNING,1773937140.84,0.00,1293.0,SUCCESS,Active execution on GPU
27,RUNNING,1773937145.85,0.00,1939.5,SUCCESS,Active execution on GPU
28,RUNNING,1773937200.86,0.00,862.0,SUCCESS,Active execution on GPU
29,RUNNING,1773937205.87,0.00,1293.0,SUCCESS,Active execution on GPU
30,RUNNING,1773937210.87,0.00,1939.5,SUCCESS,Active execution on GPU
31,RUNNING,1773937265.89,0.00,862.0,SUCCESS,Active execution on GPU
32,RUNNING,1773937270.89,0.00,1293.0,SUCCESS,Active execution on GPU
33,RUNNING,1773937275.90,0.00,1939.5,SUCCESS,Active execution on GPU
34,RUNNING,1773937330.91,0.00,862.0,SUCCESS,Active execution on GPU
35,RUNNING,1773937335.92,0.00,1293.0,SUCCESS,Active execution on GPU
36,RUNNING,1773937340.92,0.00,1939.5,SUCCESS,Active execution on GPU
37,RUNNING,1773937395.94,0.00,862.0,SUCCESS,Active execution on GPU
38,RUNNING,1773937400.94,0.00,1293.0,SUCCESS,Active execution on GPU
39,RUNNING,1773937405.95,0.00,1939.5,SUCCESS,Active execution on GPU
40,RUNNING,1773937460.97,0.00,862.0,SUCCESS,Active execution on GPU
41,RUNNING,1773937465.97,0.00,1293.0,SUCCESS,Active execution on GPU
42,RUNNING,1773937470.97,0.00,1939.5,SUCCESS,Active execution on GPU
43,RUNNING,1773937525.99,0.00,862.0,SUCCESS,Active execution on GPU
44,RUNNING,1773937530.99,0.00,1293.0,SUCCESS,Active execution on GPU
45,RUNNING,1773937536.00,0.00,1939.5,SUCCESS,Active execution on GPU
46,RUNNING,1773937591.02,0.00,862.0,SUCCESS,Active execution on GPU
47,RUNNING,1773937596.02,0.00,1293.0,SUCCESS,Active execution on GPU
48,RUNNING,1773937601.03,0.00,1939.5,SUCCESS,Active execution on GPU
49,RUNNING,1773937656.05,0.00,862.0,SUCCESS,Active execution on GPU
50,RUNNING,1773937661.05,0.00,1293.0,SUCCESS,Active execution on GPU
51,RUNNING,1773937666.06,0.00,1939.5,SUCCESS,Active execution on GPU
52,RUNNING,1773937721.08,0.00,862.0,SUCCESS,Active execution on GPU
53,RUNNING,1773937726.08,0.00,1293.0,SUCCESS,Active execution on GPU
54,RUNNING,1773937731.08,0.00,1939.5,SUCCESS,Active execution on GPU
55,RUNNING,1773937786.11,0.00,862.0,SUCCESS,Active execution on GPU
56,RUNNING,1773937791.11,0.00,1293.0,SUCCESS,Active execution on GPU
57,RUNNING,1773937796.12,0.00,1939.5,SUCCESS,Active execution on GPU
58,RUNNING,1773937851.14,0.00,862.0,SUCCESS,Active execution on GPU
59,RUNNING,1773937856.15,0.00,1293.0,SUCCESS,Active execution on GPU
60,RUNNING,1773937861.15,0.00,1939.5,SUCCESS,Active execution on GPU
61,RUNNING,1773937916.18,0.00,862.0,SUCCESS,Active execution on GPU
62,RUNNING,1773937921.18,0.00,1293.0,SUCCESS,Active execution on GPU
63,RUNNING,1773937926.18,0.00,1939.5,SUCCESS,Active execution on GPU
