CONTAINER EXECUTION DATA
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5

Container ID,Memory Allocated (MB),Expected Duration (s),Launch Time (s),Completion Time (s),Actual Duration (s),Duration Accuracy,Success,Execution Status,Memory Efficiency %
1,862.0,60,1773945021.00,1773945084.53,63.53,94.1%,Yes,✓ Completed,21.0%
2,1293.0,60,1773945026.00,1773945089.52,63.52,94.1%,Yes,✓ Completed,31.6%
3,1939.5,60,1773945031.00,1773945094.50,63.49,94.2%,Yes,✓ Completed,47.4%
4,862.0,60,1773945086.02,1773945149.63,63.61,94.0%,Yes,✓ Completed,21.0%
5,1293.0,60,1773945091.03,1773945154.63,63.61,94.0%,Yes,✓ Completed,31.6%
6,1939.5,60,1773945096.03,1773945159.68,63.65,93.9%,Yes,✓ Completed,47.4%
7,862.0,60,1773945151.04,1773945214.58,63.54,94.1%,Yes,✓ Completed,21.0%
8,1293.0,60,1773945156.05,1773945219.70,63.65,93.9%,Yes,✓ Completed,31.6%
9,1939.5,60,1773945161.05,1773945224.55,63.50,94.2%,Yes,✓ Completed,47.4%
10,862.0,60,1773945216.07,1773945279.72,63.65,93.9%,Yes,✓ Completed,21.0%
11,1293.0,60,1773945221.08,1773945284.59,63.52,94.1%,Yes,✓ Completed,31.6%
12,1939.5,60,1773945226.08,1773945289.66,63.58,94.0%,Yes,✓ Completed,47.4%
13,862.0,60,1773945281.09,1773945344.68,63.59,94.0%,Yes,✓ Completed,21.0%
14,1293.0,60,1773945286.10,1773945349.68,63.58,94.0%,Yes,✓ Completed,31.6%
15,1939.5,60,1773945291.10,1773945354.65,63.55,94.1%,Yes,✓ Completed,47.4%
16,862.0,60,1773945346.12,1773945409.69,63.56,94.1%,Yes,✓ Completed,21.0%
17,1293.0,60,1773945351.12,1773945414.73,63.61,94.0%,Yes,✓ Completed,31.6%
18,1939.5,60,1773945356.13,1773945419.64,63.51,94.1%,Yes,✓ Completed,47.4%
19,862.0,60,1773945411.14,1773945474.89,63.75,93.8%,Yes,✓ Completed,21.0%
20,1293.0,60,1773945416.15,1773945479.59,63.44,94.3%,Yes,✓ Completed,31.6%
21,1939.5,60,1773945421.15,1773945484.95,63.79,93.7%,Yes,✓ Completed,47.4%
22,862.0,60,1773945476.17,1773945539.74,63.57,94.1%,Yes,✓ Completed,21.0%
23,1293.0,60,1773945481.17,1773945544.63,63.46,94.2%,Yes,✓ Completed,31.6%
24,1939.5,60,1773945486.18,1773945549.79,63.61,94.0%,Yes,✓ Completed,47.4%
25,862.0,60,1773945541.20,1773945604.76,63.57,94.1%,Yes,✓ Completed,21.0%
26,1293.0,60,1773945546.20,1773945609.77,63.58,94.0%,Yes,✓ Completed,31.6%
27,1939.5,60,1773945551.20,1773945614.68,63.48,94.2%,Yes,✓ Completed,47.4%
28,862.0,60,1773945606.22,1773945669.85,63.63,94.0%,Yes,✓ Completed,21.0%
29,1293.0,60,1773945611.22,1773945674.74,63.52,94.1%,Yes,✓ Completed,31.6%
30,1939.5,60,1773945616.23,1773945679.88,63.65,93.9%,Yes,✓ Completed,47.4%
31,862.0,60,1773945671.24,1773945734.88,63.64,93.9%,Yes,✓ Completed,21.0%
32,1293.0,60,1773945676.25,1773945739.87,63.62,94.0%,Yes,✓ Completed,31.6%
33,1939.5,60,1773945681.25,1773945744.81,63.56,94.1%,Yes,✓ Completed,47.4%
34,862.0,60,1773945736.27,1773945799.82,63.55,94.1%,Yes,✓ Completed,21.0%
35,1293.0,60,1773945741.27,1773945804.92,63.64,93.9%,Yes,✓ Completed,31.6%
36,1939.5,60,1773945746.28,1773945809.79,63.51,94.1%,Yes,✓ Completed,47.4%
37,862.0,60,1773945801.30,1773945864.92,63.62,94.0%,Yes,✓ Completed,21.0%
