DETAILED TIMELINE - FIRST HOUR
"Shows container execution, memory usage, and launch/OOM decisions"

Configuration:
Base Memory (M0),862.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,1 min
Max Concurrent,3

Time (min),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
0,1,C1,862.0,21.0%,3234.0,YES,OK
5,1,C2,1293.0,31.6%,2803.0,YES,OK
10,1,C3,1939.5,47.4%,2156.5,YES,OK
15,1,C4,862.0,21.0%,3234.0,YES,OK
20,1,C5,1293.0,31.6%,2803.0,YES,OK
25,1,C6,1939.5,47.4%,2156.5,YES,OK
30,1,C7,862.0,21.0%,3234.0,YES,OK
35,1,C8,1293.0,31.6%,2803.0,YES,OK
40,1,C9,1939.5,47.4%,2156.5,YES,OK
45,1,C10,862.0,21.0%,3234.0,YES,OK
50,1,C11,1293.0,31.6%,2803.0,YES,OK
55,1,C12,1939.5,47.4%,2156.5,YES,OK
60,1,C13,862.0,21.0%,3234.0,YES,OK
