PART 1 - THROUGHPUT ANALYSIS
Configuration:
  Simulation Duration: 1.0 hours (60.0 minutes)
  Container Duration: 60s (1m)
  Total Time Slots: 60.0 slots
  GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Multiplier: 1.5

Time Slot,Start Time (min),End Time (min),Container #,Memory (MB),Max Parallel at Time,Containers Running,Total Memory Used (MB),Remaining Capacity (MB),Can Launch Next?
1,0,1,1,862.0,3,3,862.0,3234.0,YES
2,1,2,2,1293.0,2,1.0,2155.0,1941.0,YES
3,2,3,3,1939.5,1,1,1939.5,2156.5,YES
4,3,4,4,2909.2,1,0,0.0,4096.0,NO
5,4,5,4,2909.2,1,0.0,2909.2,1186.8,YES
6,5,6,5,4363.9,1,0,0.0,4096.0,NO
7,6,7,5,4363.9,1,0,0.0,4096.0,NO
8,7,8,5,4363.9,1,0,0.0,4096.0,NO
9,8,9,5,4363.9,1,0,0.0,4096.0,NO
10,9,10,5,4363.9,1,0,0.0,4096.0,NO
11,10,11,5,4363.9,1,0,0.0,4096.0,NO
12,11,12,5,4363.9,1,0,0.0,4096.0,NO
13,12,13,5,4363.9,1,0,0.0,4096.0,NO
14,13,14,5,4363.9,1,0,0.0,4096.0,NO
15,14,15,5,4363.9,1,0,0.0,4096.0,NO
16,15,16,5,4363.9,1,0,0.0,4096.0,NO
17,16,17,5,4363.9,1,0,0.0,4096.0,NO
18,17,18,5,4363.9,1,0,0.0,4096.0,NO
19,18,19,5,4363.9,1,0,0.0,4096.0,NO
20,19,20,5,4363.9,1,0,0.0,4096.0,NO
21,20,21,5,4363.9,1,0,0.0,4096.0,NO
22,21,22,5,4363.9,1,0,0.0,4096.0,NO
23,22,23,5,4363.9,1,0,0.0,4096.0,NO
24,23,24,5,4363.9,1,0,0.0,4096.0,NO
25,24,25,5,4363.9,1,0,0.0,4096.0,NO
26,25,26,5,4363.9,1,0,0.0,4096.0,NO
27,26,27,5,4363.9,1,0,0.0,4096.0,NO
28,27,28,5,4363.9,1,0,0.0,4096.0,NO
29,28,29,5,4363.9,1,0,0.0,4096.0,NO
30,29,30,5,4363.9,1,0,0.0,4096.0,NO
31,30,31,5,4363.9,1,0,0.0,4096.0,NO
32,31,32,5,4363.9,1,0,0.0,4096.0,NO
33,32,33,5,4363.9,1,0,0.0,4096.0,NO
34,33,34,5,4363.9,1,0,0.0,4096.0,NO
35,34,35,5,4363.9,1,0,0.0,4096.0,NO
36,35,36,5,4363.9,1,0,0.0,4096.0,NO
37,36,37,5,4363.9,1,0,0.0,4096.0,NO
38,37,38,5,4363.9,1,0,0.0,4096.0,NO
39,38,39,5,4363.9,1,0,0.0,4096.0,NO
40,39,40,5,4363.9,1,0,0.0,4096.0,NO
41,40,41,5,4363.9,1,0,0.0,4096.0,NO
42,41,42,5,4363.9,1,0,0.0,4096.0,NO
43,42,43,5,4363.9,1,0,0.0,4096.0,NO
44,43,44,5,4363.9,1,0,0.0,4096.0,NO
45,44,45,5,4363.9,1,0,0.0,4096.0,NO
46,45,46,5,4363.9,1,0,0.0,4096.0,NO
47,46,47,5,4363.9,1,0,0.0,4096.0,NO
48,47,48,5,4363.9,1,0,0.0,4096.0,NO
49,48,49,5,4363.9,1,0,0.0,4096.0,NO
50,49,50,5,4363.9,1,0,0.0,4096.0,NO
51,50,51,5,4363.9,1,0,0.0,4096.0,NO
52,51,52,5,4363.9,1,0,0.0,4096.0,NO
53,52,53,5,4363.9,1,0,0.0,4096.0,NO
54,53,54,5,4363.9,1,0,0.0,4096.0,NO
55,54,55,5,4363.9,1,0,0.0,4096.0,NO
56,55,56,5,4363.9,1,0,0.0,4096.0,NO
57,56,57,5,4363.9,1,0,0.0,4096.0,NO
58,57,58,5,4363.9,1,0,0.0,4096.0,NO
59,58,59,5,4363.9,1,0,0.0,4096.0,NO
60,59,60,5,4363.9,1,0,0.0,4096.0,NO

PARALLELISM ANALYSIS - Maximum Containers Supported

Containers in Parallel,Memory Sum Formula,Max n Value,Feasible?
1,M(n) ≤ 4096,4,YES
2,M(n) + M(n+1) ≤ 4096,2,YES
3,M(n) + M(n+1) + M(n+2) ≤ 4096,1,YES
