CONTAINER LAUNCH SCHEDULE
Shows scheduled and actual launch times with OOM decisions

Launch Interval,5 seconds (between containers in a cycle)
Total Simulation,1.0 hours
Container Duration,60 seconds (1 min)
Expected Containers,~165

Container,Scheduled Launch (s),Expected Start (s),Expected End (s),Duration (s),Requested Memory (MB),Actual Launch,Decision
C1,0,0,60,60,862.0,Yes,Launched
C2,5,5,65,60,1293.0,Yes,Launched
C3,10,10,70,60,1939.5,Yes,Launched
C4,60,60,120,60,862.0,Yes,Launched
C5,65,65,125,60,1293.0,Yes,Launched
C6,70,70,130,60,1939.5,Yes,Launched
C7,120,120,180,60,862.0,Yes,Launched
C8,125,125,185,60,1293.0,Yes,Launched
C9,130,130,190,60,1939.5,Yes,Launched
C10,180,180,240,60,862.0,Yes,Launched
C11,185,185,245,60,1293.0,Yes,Launched
C12,190,190,250,60,1939.5,Yes,Launched
C13,240,240,300,60,862.0,Yes,Launched
C14,245,245,305,60,1293.0,Yes,Launched
C15,250,250,310,60,1939.5,Yes,Launched
C16,300,300,360,60,862.0,Yes,Launched
C17,305,305,365,60,1293.0,Yes,Launched
C18,310,310,370,60,1939.5,Yes,Launched
C19,360,360,420,60,862.0,Yes,Launched
C20,365,365,425,60,1293.0,Yes,Launched
C21,370,370,430,60,1939.5,Yes,Launched
C22,420,420,480,60,862.0,Yes,Launched
C23,425,425,485,60,1293.0,Yes,Launched
C24,430,430,490,60,1939.5,Yes,Launched
C25,480,480,540,60,862.0,Yes,Launched
C26,485,485,545,60,1293.0,Yes,Launched
C27,490,490,550,60,1939.5,Yes,Launched
C28,540,540,600,60,862.0,Yes,Launched
C29,545,545,605,60,1293.0,Yes,Launched
C30,550,550,610,60,1939.5,Yes,Launched
C31,600,600,660,60,862.0,Yes,Launched
C32,605,605,665,60,1293.0,Yes,Launched
C33,610,610,670,60,1939.5,Yes,Launched
C34,660,660,720,60,862.0,Yes,Launched
C35,665,665,725,60,1293.0,Yes,Launched
C36,670,670,730,60,1939.5,Yes,Launched
C37,720,720,780,60,862.0,Yes,Launched
C38,725,725,785,60,1293.0,Yes,Launched
C39,730,730,790,60,1939.5,Yes,Launched
C40,780,780,840,60,862.0,Yes,Launched
C41,785,785,845,60,1293.0,Yes,Launched
C42,790,790,850,60,1939.5,Yes,Launched
C43,840,840,900,60,862.0,Yes,Launched
C44,845,845,905,60,1293.0,Yes,Launched
C45,850,850,910,60,1939.5,Yes,Launched
C46,900,900,960,60,862.0,Yes,Launched
C47,905,905,965,60,1293.0,Yes,Launched
C48,910,910,970,60,1939.5,Yes,Launched
C49,960,960,1020,60,862.0,Yes,Launched
C50,965,965,1025,60,1293.0,Yes,Launched
