DETAILED TIMELINE - FIRST HOUR (3600 seconds)
Shows ACTUAL overlapping container execution with correct parallelism

Configuration:
Base Memory (M0),862.0 MB
Memory Multiplier,1.5x
Total GPU Memory,4096.0 MB
Container Duration,60 seconds (1 min)
Max Concurrent,3
Reset Interval,3 containers (memory cycles)

Time (s),Containers Running,Container IDs,Memory Used (MB),Memory %,Remaining (MB),Can Launch New?,Decision Reason
0,1,C1,862.0,21.04%,3234.0,YES,OK
5,2,"C1, C2",2155.0,52.61%,1941.0,YES,OK
10,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
15,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
20,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
25,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
30,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
35,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
40,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
45,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
50,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
55,3,"C1, C2, C3",4094.5,99.96%,1.5,NO,OOM
60,3,"C2, C3, C4",4094.5,99.96%,1.5,NO,OOM
65,3,"C3, C4, C5",4094.5,99.96%,1.5,NO,OOM
70,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
75,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
80,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
85,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
90,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
95,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
100,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
105,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
110,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
115,3,"C4, C5, C6",4094.5,99.96%,1.5,NO,OOM
120,3,"C5, C6, C7",4094.5,99.96%,1.5,NO,OOM
125,3,"C6, C7, C8",4094.5,99.96%,1.5,NO,OOM
130,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
135,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
140,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
145,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
150,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
155,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
160,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
165,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
170,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
175,3,"C7, C8, C9",4094.5,99.96%,1.5,NO,OOM
180,3,"C8, C9, C10",4094.5,99.96%,1.5,NO,OOM
185,3,"C9, C10, C11",4094.5,99.96%,1.5,NO,OOM
190,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
195,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
200,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
205,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
210,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
215,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
220,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
225,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
230,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
235,3,"C10, C11, C12",4094.5,99.96%,1.5,NO,OOM
240,3,"C11, C12, C13",4094.5,99.96%,1.5,NO,OOM
245,3,"C12, C13, C14",4094.5,99.96%,1.5,NO,OOM
250,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
255,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
260,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
265,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
270,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
275,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
280,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
285,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
290,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
295,3,"C13, C14, C15",4094.5,99.96%,1.5,NO,OOM
300,3,"C14, C15, C16",4094.5,99.96%,1.5,NO,OOM
305,3,"C15, C16, C17",4094.5,99.96%,1.5,NO,OOM
310,3,"C16, C17, C18",4094.5,99.96%,1.5,NO,OOM
315,3,"C16, C17, C18",4094.5,99.96%,1.5,NO,OOM
320,3,"C16, C17, C18",4094.5,99.96%,1.5,NO,OOM
