PART 1 - MATHEMATICAL MODELING
Memory Growth Model: M(n) = M₀ × 1.5^(n-1)
Configuration:
  Base Memory: 862.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

Container Number,Memory (MB),M(1)+M(2)+M(3),3 Parallel?,M(n)+M(n+1),2 Parallel?,M(n),1 Parallel?
1,862.0,4094.5,✓ YES,2155.0,✓ YES,862.0,✓ YES
2,1293.0,6141.8,✗ NO,3232.5,✓ YES,1293.0,✓ YES
3,1939.5,9212.6,✗ NO,4848.8,✗ NO,1939.5,✓ YES
4,2909.2,13818.9,✗ NO,7273.1,✗ NO,2909.2,✓ YES
5,4363.9,20728.4,✗ NO,10909.7,✗ NO,4363.9,✗ NO
6,6545.8,31092.6,✗ NO,16364.5,✗ NO,6545.8,✗ NO
7,9818.7,46638.9,✗ NO,24546.8,✗ NO,9818.7,✗ NO
8,14728.1,69958.4,✗ NO,36820.2,✗ NO,14728.1,✗ NO
9,22092.1,104937.6,✗ NO,55230.3,✗ NO,22092.1,✗ NO
10,33138.2,157406.3,✗ NO,82845.4,✗ NO,33138.2,✗ NO
11,49707.3,236109.5,✗ NO,124268.2,✗ NO,49707.3,✗ NO
12,74560.9,354164.3,✗ NO,186402.2,✗ NO,74560.9,✗ NO
13,111841.3,279603.4,✗ NO,279603.4,✗ NO,111841.3,✗ NO
14,167762.0,167762.0,✗ NO,167762.0,✗ NO,167762.0,✗ NO
