MEMORY USAGE TIMELINE
Generated from container execution schedule with reset-every-3 memory model
Configuration:
  Total GPU Memory: 4096.0 MB
  Base Memory: 862.0 MB
  Memory Multiplier: 1.5
  Container Duration: 60 seconds
  Reset Interval: 3 containers

Timestamp (s),Active Containers (count),Container IDs,Total Memory Used (MB),Used %,Remaining Capacity (MB),Available %,Memory Pressure,Can Launch?
0,1,C1,862.0,21.0%,3234.0,79.0%,LOW,YES
5,2,"C1, C2",2155.0,52.6%,1941.0,47.4%,MEDIUM,YES
10,3,"C1, C2, C3",4094.5,100.0%,1.5,0.0%,CRITICAL,NO
15,4,"C1, C2, C3, C4",4956.5,121.0%,-860.5,-21.0%,CRITICAL,NO
20,5,"C1, C2, C3, C4, C5",6249.5,152.6%,-2153.5,-52.6%,CRITICAL,NO
25,6,"C1, C2, C3, C4, C5, C6",8189.0,199.9%,-4093.0,-99.9%,CRITICAL,NO
30,7,"C1, C2, C3, C4, C5, C6, C7",9051.0,221.0%,-4955.0,-121.0%,CRITICAL,NO
35,8,"C1, C2, C3, C4, C5, C6, C7, C8",10344.0,252.5%,-6248.0,-152.5%,CRITICAL,NO
40,9,"C1, C2, C3, C4, C5, C6, C7, C8, C9",12283.5,299.9%,-8187.5,-199.9%,CRITICAL,NO
45,10,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10",13145.5,320.9%,-9049.5,-220.9%,CRITICAL,NO
50,11,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11",14438.5,352.5%,-10342.5,-252.5%,CRITICAL,NO
55,12,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
60,12,"C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
65,12,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
70,12,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
75,12,"C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
80,12,"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
85,12,"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
90,12,"C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
95,12,"C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
100,12,"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21",16378.0,399.9%,-12282.0,-299.9%,CRITICAL,NO
