PART 2 - SCHEDULING ALGORITHM DESIGN
Non-blocking Event-Driven Scheduler with Memory Reset Every 3
Configuration:
  Base Memory: 862.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB
  Container Duration: 60 seconds
  Max Concurrent: 3
  Memory Reset Interval: every 3 containers

SCHEDULER STATE TIMELINE - First 3600 seconds of execution
Note: Actual containers overlap. Timeline shows scheduling decisions at 5-second intervals.

Time (s),Container ID,State,Memory Required (MB),Active Containers (count),Active IDs,Total Memory Used (MB),Available Memory (MB),Event Description,Launch Decision,Note
0,1,CREATED,862.0,1,C1,862.0,3234.0,Container 1 launched (reset pos 1),✓ YES (1/3),1 now active
5,2,CREATED,1293.0,2,"C1, C2",2155.0,1941.0,Container 2 launched (reset pos 2),✓ YES (2/3),2 now active
10,3,CREATED,1939.5,3,"C1, C2, C3",4094.5,1.5,Container 3 launched (reset pos 3),✓ YES (3/3),3 now active
60,1,COMPLETED,862.0,2,"C2, C3",3232.5,863.5,Container 1 released resources,N/A,Memory freed
60,4,CREATED,862.0,3,"C2, C3, C4",4094.5,1.5,Container 4 launched (reset pos 1),✓ YES (3/3),3 now active
65,2,COMPLETED,1293.0,2,"C3, C4",2801.5,1294.5,Container 2 released resources,N/A,Memory freed
65,5,CREATED,1293.0,3,"C3, C4, C5",4094.5,1.5,Container 5 launched (reset pos 2),✓ YES (3/3),3 now active
70,3,COMPLETED,1939.5,2,"C4, C5",2155.0,1941.0,Container 3 released resources,N/A,Memory freed
70,6,CREATED,1939.5,3,"C4, C5, C6",4094.5,1.5,Container 6 launched (reset pos 3),✓ YES (3/3),3 now active
120,4,COMPLETED,862.0,2,"C5, C6",3232.5,863.5,Container 4 released resources,N/A,Memory freed
120,7,CREATED,862.0,3,"C5, C6, C7",4094.5,1.5,Container 7 launched (reset pos 1),✓ YES (3/3),3 now active
125,5,COMPLETED,1293.0,2,"C6, C7",2801.5,1294.5,Container 5 released resources,N/A,Memory freed
125,8,CREATED,1293.0,3,"C6, C7, C8",4094.5,1.5,Container 8 launched (reset pos 2),✓ YES (3/3),3 now active
130,6,COMPLETED,1939.5,2,"C7, C8",2155.0,1941.0,Container 6 released resources,N/A,Memory freed
130,9,CREATED,1939.5,3,"C7, C8, C9",4094.5,1.5,Container 9 launched (reset pos 3),✓ YES (3/3),3 now active
180,7,COMPLETED,862.0,2,"C8, C9",3232.5,863.5,Container 7 released resources,N/A,Memory freed
180,10,CREATED,862.0,3,"C8, C9, C10",4094.5,1.5,Container 10 launched (reset pos 1),✓ YES (3/3),3 now active
185,8,COMPLETED,1293.0,2,"C9, C10",2801.5,1294.5,Container 8 released resources,N/A,Memory freed
185,11,CREATED,1293.0,3,"C9, C10, C11",4094.5,1.5,Container 11 launched (reset pos 2),✓ YES (3/3),3 now active
190,9,COMPLETED,1939.5,2,"C10, C11",2155.0,1941.0,Container 9 released resources,N/A,Memory freed
190,12,CREATED,1939.5,3,"C10, C11, C12",4094.5,1.5,Container 12 launched (reset pos 3),✓ YES (3/3),3 now active
240,10,COMPLETED,862.0,2,"C11, C12",3232.5,863.5,Container 10 released resources,N/A,Memory freed
240,13,CREATED,862.0,3,"C11, C12, C13",4094.5,1.5,Container 13 launched (reset pos 1),✓ YES (3/3),3 now active
245,11,COMPLETED,1293.0,2,"C12, C13",2801.5,1294.5,Container 11 released resources,N/A,Memory freed
245,14,CREATED,1293.0,3,"C12, C13, C14",4094.5,1.5,Container 14 launched (reset pos 2),✓ YES (3/3),3 now active
250,12,COMPLETED,1939.5,2,"C13, C14",2155.0,1941.0,Container 12 released resources,N/A,Memory freed
250,15,CREATED,1939.5,3,"C13, C14, C15",4094.5,1.5,Container 15 launched (reset pos 3),✓ YES (3/3),3 now active
300,13,COMPLETED,862.0,2,"C14, C15",3232.5,863.5,Container 13 released resources,N/A,Memory freed
300,16,CREATED,862.0,3,"C14, C15, C16",4094.5,1.5,Container 16 launched (reset pos 1),✓ YES (3/3),3 now active
305,14,COMPLETED,1293.0,2,"C15, C16",2801.5,1294.5,Container 14 released resources,N/A,Memory freed
305,17,CREATED,1293.0,3,"C15, C16, C17",4094.5,1.5,Container 17 launched (reset pos 2),✓ YES (3/3),3 now active
310,15,COMPLETED,1939.5,2,"C16, C17",2155.0,1941.0,Container 15 released resources,N/A,Memory freed
310,18,CREATED,1939.5,3,"C16, C17, C18",4094.5,1.5,Container 18 launched (reset pos 3),✓ YES (3/3),3 now active
360,16,COMPLETED,862.0,2,"C17, C18",3232.5,863.5,Container 16 released resources,N/A,Memory freed
360,19,CREATED,862.0,3,"C17, C18, C19",4094.5,1.5,Container 19 launched (reset pos 1),✓ YES (3/3),3 now active
365,17,COMPLETED,1293.0,2,"C18, C19",2801.5,1294.5,Container 17 released resources,N/A,Memory freed
365,20,CREATED,1293.0,3,"C18, C19, C20",4094.5,1.5,Container 20 launched (reset pos 2),✓ YES (3/3),3 now active
370,18,COMPLETED,1939.5,2,"C19, C20",2155.0,1941.0,Container 18 released resources,N/A,Memory freed
370,21,CREATED,1939.5,3,"C19, C20, C21",4094.5,1.5,Container 21 launched (reset pos 3),✓ YES (3/3),3 now active
420,19,COMPLETED,862.0,2,"C20, C21",3232.5,863.5,Container 19 released resources,N/A,Memory freed
420,22,CREATED,862.0,3,"C20, C21, C22",4094.5,1.5,Container 22 launched (reset pos 1),✓ YES (3/3),3 now active
425,20,COMPLETED,1293.0,2,"C21, C22",2801.5,1294.5,Container 20 released resources,N/A,Memory freed
425,23,CREATED,1293.0,3,"C21, C22, C23",4094.5,1.5,Container 23 launched (reset pos 2),✓ YES (3/3),3 now active
430,21,COMPLETED,1939.5,2,"C22, C23",2155.0,1941.0,Container 21 released resources,N/A,Memory freed
430,24,CREATED,1939.5,3,"C22, C23, C24",4094.5,1.5,Container 24 launched (reset pos 3),✓ YES (3/3),3 now active
480,22,COMPLETED,862.0,2,"C23, C24",3232.5,863.5,Container 22 released resources,N/A,Memory freed
480,25,CREATED,862.0,3,"C23, C24, C25",4094.5,1.5,Container 25 launched (reset pos 1),✓ YES (3/3),3 now active
485,23,COMPLETED,1293.0,2,"C24, C25",2801.5,1294.5,Container 23 released resources,N/A,Memory freed
485,26,CREATED,1293.0,3,"C24, C25, C26",4094.5,1.5,Container 26 launched (reset pos 2),✓ YES (3/3),3 now active
490,24,COMPLETED,1939.5,2,"C25, C26",2155.0,1941.0,Container 24 released resources,N/A,Memory freed
490,27,CREATED,1939.5,3,"C25, C26, C27",4094.5,1.5,Container 27 launched (reset pos 3),✓ YES (3/3),3 now active
540,25,COMPLETED,862.0,2,"C26, C27",3232.5,863.5,Container 25 released resources,N/A,Memory freed
540,28,CREATED,862.0,3,"C26, C27, C28",4094.5,1.5,Container 28 launched (reset pos 1),✓ YES (3/3),3 now active
545,26,COMPLETED,1293.0,2,"C27, C28",2801.5,1294.5,Container 26 released resources,N/A,Memory freed
545,29,CREATED,1293.0,3,"C27, C28, C29",4094.5,1.5,Container 29 launched (reset pos 2),✓ YES (3/3),3 now active
550,27,COMPLETED,1939.5,2,"C28, C29",2155.0,1941.0,Container 27 released resources,N/A,Memory freed
550,30,CREATED,1939.5,3,"C28, C29, C30",4094.5,1.5,Container 30 launched (reset pos 3),✓ YES (3/3),3 now active
600,28,COMPLETED,862.0,2,"C29, C30",3232.5,863.5,Container 28 released resources,N/A,Memory freed
600,31,CREATED,862.0,3,"C29, C30, C31",4094.5,1.5,Container 31 launched (reset pos 1),✓ YES (3/3),3 now active
605,29,COMPLETED,1293.0,2,"C30, C31",2801.5,1294.5,Container 29 released resources,N/A,Memory freed
605,32,CREATED,1293.0,3,"C30, C31, C32",4094.5,1.5,Container 32 launched (reset pos 2),✓ YES (3/3),3 now active
610,30,COMPLETED,1939.5,2,"C31, C32",2155.0,1941.0,Container 30 released resources,N/A,Memory freed
610,33,CREATED,1939.5,3,"C31, C32, C33",4094.5,1.5,Container 33 launched (reset pos 3),✓ YES (3/3),3 now active
660,31,COMPLETED,862.0,2,"C32, C33",3232.5,863.5,Container 31 released resources,N/A,Memory freed
660,34,CREATED,862.0,3,"C32, C33, C34",4094.5,1.5,Container 34 launched (reset pos 1),✓ YES (3/3),3 now active
665,32,COMPLETED,1293.0,2,"C33, C34",2801.5,1294.5,Container 32 released resources,N/A,Memory freed
665,35,CREATED,1293.0,3,"C33, C34, C35",4094.5,1.5,Container 35 launched (reset pos 2),✓ YES (3/3),3 now active
670,33,COMPLETED,1939.5,2,"C34, C35",2155.0,1941.0,Container 33 released resources,N/A,Memory freed
670,36,CREATED,1939.5,3,"C34, C35, C36",4094.5,1.5,Container 36 launched (reset pos 3),✓ YES (3/3),3 now active
720,34,COMPLETED,862.0,2,"C35, C36",3232.5,863.5,Container 34 released resources,N/A,Memory freed
720,37,CREATED,862.0,3,"C35, C36, C37",4094.5,1.5,Container 37 launched (reset pos 1),✓ YES (3/3),3 now active
725,35,COMPLETED,1293.0,2,"C36, C37",2801.5,1294.5,Container 35 released resources,N/A,Memory freed
725,38,CREATED,1293.0,3,"C36, C37, C38",4094.5,1.5,Container 38 launched (reset pos 2),✓ YES (3/3),3 now active
730,36,COMPLETED,1939.5,2,"C37, C38",2155.0,1941.0,Container 36 released resources,N/A,Memory freed
730,39,CREATED,1939.5,3,"C37, C38, C39",4094.5,1.5,Container 39 launched (reset pos 3),✓ YES (3/3),3 now active
780,37,COMPLETED,862.0,2,"C38, C39",3232.5,863.5,Container 37 released resources,N/A,Memory freed
