PART 3 - STARVATION PREVENTION ANALYSIS
Comparing three memory cap policy approaches
Configuration:
  Base Memory: 862.0 MB
  Multiplier: 1.5
  Total GPU Memory: 4096.0 MB

Approach,Description,Max Containers,Max Parallel,Starvation?,Throughput/24h,Recommendation
Sliding Window,"Exponential growth continues, parallelism drops",9,Drops 3→0,Yes,~4,NOT RECOMMENDED ✗
Reset Every 3,Reset after C3 back to C1 size (ACTUAL),432+,Constant 3,No,432,RECOMMENDED ✓
Reset Every 4,Reset after C4 back to C1 size,432+,Varies 1-3,No,288,Acceptable
Capped at 2048,Cap individual container max at 2048 MB,288+,Drops to 1-2,No,288,Not optimal

RECOMMENDATION: Reset Every 3 Containers (ACTUAL IMPLEMENTATION)
"Rationale: Maintains constant 3-way parallelism, achieves 432 containers/24h, prevents starvation"
Formula: memory = base × (multiplier ^ ((n-1) % 3))

Container Number,Sliding Window (MB),Reset Every 3 (MB),Reset Every 4 (MB),Capped at 2GB (MB)
1,862,862,862,862
2,1293,1293,1293,1293
3,1940,1940,1940,1940
4,2909,862,2909,2048
5,4364,1293,862,2048
6,6546,1940,1293,2048
7,9819,862,1940,2048
8,14728,1293,2909,2048
9,22092,1940,862,2048
10,33138,862,1293,2048
11,49707,1293,1940,2048
12,74561,1940,2909,2048
13,111841,862,862,2048
14,167762,1293,1293,2048
